cell_type	cell_source	clean_cell_name	model	key	reference	comment
Neurosphere_Cultured_Cells_Cortex_Derived		Neurosphere Cultured Cells Cortex Derived	roadmap_15	roadmap_chromhmm/hg38_lift/E053_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived		Neurosphere Cultured Cells Ganglionic Eminence Derived	roadmap_15	roadmap_chromhmm/hg38_lift/E054_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Penis_Foreskin_Fibroblast_Primary_Cells_skin01		Penis Foreskin Fibroblast Primary Cells Skin01	roadmap_15	roadmap_chromhmm/hg38_lift/E055_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Penis_Foreskin_Fibroblast_Primary_Cells_skin02		Penis Foreskin Fibroblast Primary Cells Skin02	roadmap_15	roadmap_chromhmm/hg38_lift/E056_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02		Penis Foreskin Keratinocyte Primary Cells Skin02	roadmap_15	roadmap_chromhmm/hg38_lift/E057_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03		Penis Foreskin Keratinocyte Primary Cells Skin03	roadmap_15	roadmap_chromhmm/hg38_lift/E058_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Penis_Foreskin_Melanocyte_Primary_Cells_skin01		Penis Foreskin Melanocyte Primary Cells Skin01	roadmap_15	roadmap_chromhmm/hg38_lift/E059_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Penis_Foreskin_Melanocyte_Primary_Cells_skin03		Penis Foreskin Melanocyte Primary Cells Skin03	roadmap_15	roadmap_chromhmm/hg38_lift/E061_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Peripheral_Blood_Mononuclear_Primary_Cells		Peripheral Blood Mononuclear Primary Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E062_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Adipose_Nuclei		Adipose Nuclei	roadmap_15	roadmap_chromhmm/hg38_lift/E063_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Aorta		Aorta	roadmap_15	roadmap_chromhmm/hg38_lift/E065_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Adult_Liver		Adult Liver	roadmap_15	roadmap_chromhmm/hg38_lift/E066_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Brain_Angular_Gyrus		Brain Angular Gyrus	roadmap_15	roadmap_chromhmm/hg38_lift/E067_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Brain_Anterior_Caudate		Brain Anterior Caudate	roadmap_15	roadmap_chromhmm/hg38_lift/E068_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Brain_Cingulate_Gyrus		Brain Cingulate Gyrus	roadmap_15	roadmap_chromhmm/hg38_lift/E069_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Brain_Germinal_Matrix		Brain Germinal Matrix	roadmap_15	roadmap_chromhmm/hg38_lift/E070_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Brain_Hippocampus_Middle		Brain Hippocampus Middle	roadmap_15	roadmap_chromhmm/hg38_lift/E071_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Brain_Inferior_Temporal_Lobe		Brain Inferior Temporal Lobe	roadmap_15	roadmap_chromhmm/hg38_lift/E072_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Brain_Mid_Frontal_Lobe		Brain Mid Frontal Lobe	roadmap_15	roadmap_chromhmm/hg38_lift/E073_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Brain_Substantia_Nigra		Brain Substantia Nigra	roadmap_15	roadmap_chromhmm/hg38_lift/E074_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Colonic_Mucosa		Colonic Mucosa	roadmap_15	roadmap_chromhmm/hg38_lift/E075_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Colon_Smooth_Muscle		Colon Smooth Muscle	roadmap_15	roadmap_chromhmm/hg38_lift/E076_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Duodenum_Mucosa		Duodenum Mucosa	roadmap_15	roadmap_chromhmm/hg38_lift/E077_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Duodenum_Smooth_Muscle		Duodenum Smooth Muscle	roadmap_15	roadmap_chromhmm/hg38_lift/E078_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Esophagus		Esophagus	roadmap_15	roadmap_chromhmm/hg38_lift/E079_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Adrenal_Gland		Fetal Adrenal Gland	roadmap_15	roadmap_chromhmm/hg38_lift/E080_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Brain_Male		Fetal Brain Male	roadmap_15	roadmap_chromhmm/hg38_lift/E081_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Brain_Female		Fetal Brain Female	roadmap_15	roadmap_chromhmm/hg38_lift/E082_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Heart		Fetal Heart	roadmap_15	roadmap_chromhmm/hg38_lift/E083_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Intestine_Large		Fetal Intestine Large	roadmap_15	roadmap_chromhmm/hg38_lift/E084_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Intestine_Small		Fetal Intestine Small	roadmap_15	roadmap_chromhmm/hg38_lift/E085_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Kidney		Fetal Kidney	roadmap_15	roadmap_chromhmm/hg38_lift/E086_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Pancreatic_Islets		Pancreatic Islets	roadmap_15	roadmap_chromhmm/hg38_lift/E087_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Lung		Fetal Lung	roadmap_15	roadmap_chromhmm/hg38_lift/E088_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Muscle_Trunk		Fetal Muscle Trunk	roadmap_15	roadmap_chromhmm/hg38_lift/E089_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Muscle_Leg		Fetal Muscle Leg	roadmap_15	roadmap_chromhmm/hg38_lift/E090_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Placenta		Fetal Placenta	roadmap_15	roadmap_chromhmm/hg38_lift/E091_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Stomach		Fetal Stomach	roadmap_15	roadmap_chromhmm/hg38_lift/E092_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Fetal_Thymus		Fetal Thymus	roadmap_15	roadmap_chromhmm/hg38_lift/E093_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Gastric		Gastric	roadmap_15	roadmap_chromhmm/hg38_lift/E094_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Left_Ventricle		Left Ventricle	roadmap_15	roadmap_chromhmm/hg38_lift/E095_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Lung		Lung	roadmap_15	roadmap_chromhmm/hg38_lift/E096_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Ovary		Ovary	roadmap_15	roadmap_chromhmm/hg38_lift/E097_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Pancreas		Pancreas	roadmap_15	roadmap_chromhmm/hg38_lift/E098_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Placenta_Amnion		Placenta Amnion	roadmap_15	roadmap_chromhmm/hg38_lift/E099_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Psoas_Muscle		Psoas Muscle	roadmap_15	roadmap_chromhmm/hg38_lift/E100_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Rectal_Mucosa.Donor_29		Rectal Mucosa.Donor 29	roadmap_15	roadmap_chromhmm/hg38_lift/E101_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Rectal_Mucosa.Donor_31		Rectal Mucosa.Donor 31	roadmap_15	roadmap_chromhmm/hg38_lift/E102_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Rectal_Smooth_Muscle		Rectal Smooth Muscle	roadmap_15	roadmap_chromhmm/hg38_lift/E103_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Right_Atrium		Right Atrium	roadmap_15	roadmap_chromhmm/hg38_lift/E104_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Right_Ventricle		Right Ventricle	roadmap_15	roadmap_chromhmm/hg38_lift/E105_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Sigmoid_Colon		Sigmoid Colon	roadmap_15	roadmap_chromhmm/hg38_lift/E106_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Skeletal_Muscle_Male		Skeletal Muscle Male	roadmap_15	roadmap_chromhmm/hg38_lift/E107_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Skeletal_Muscle_Female		Skeletal Muscle Female	roadmap_15	roadmap_chromhmm/hg38_lift/E108_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Small_Intestine		Small Intestine	roadmap_15	roadmap_chromhmm/hg38_lift/E109_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Stomach_Mucosa		Stomach Mucosa	roadmap_15	roadmap_chromhmm/hg38_lift/E110_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Stomach_Smooth_Muscle		Stomach Smooth Muscle	roadmap_15	roadmap_chromhmm/hg38_lift/E111_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
